Segment 1,Segment 2,Segment 3,Segment 4,Segment 5,Segment 6,Segment 7,Segment 8,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,total
,widget,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,3.0
,hnr,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,3.0
,storage,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,3.0
,,topstukken.htm,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0
,,portret-van-herman-schijn,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,3.0
,,SK-A-175,,,,,,,,,,,,,1.0,,,,,,1.0,,1.0,,,,,,,,,,,3.0
,,oog-voor-kunst-de-kunstwereld-in-nederland-foto,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,3.0
,,rommelpotspeler,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,3.0
,ex_191,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,3.0
,,v3,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,2.0
,index.htm,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
,,,netvibes,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,2.0
,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,2.0
,home1.html,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
,webspecials,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,2.0
,,avercamp,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,2.0
,,collectie_rijksmuseum.htm,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,2.0
agenda,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,2.0
,,de_zalen.htm,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,2.0
,,open_tijdens_renovatie.htm,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,2.0
,,subhomepage,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,2.0
,bestandscatalogus,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,2.0
,trompenburg,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,2.0
,aanwinsten2005,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,2.0
,,goudeneeuw_vrw.htm,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
,hoofdnavigatie.htm,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
,,voorlopig_ontwerp.htm,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,2.0
,,topstukken_philipsvleugel.htm,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,2.0
,,SponsorBingo_Loterij_nieuwe_rijks.htm,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,2.0
bumper.html,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
algemene-voorwaarden-groepsbezoek,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0
bankgiroloterij-museum-widget,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0
,,,,rijkswidget-180en.html,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0
,cornelis-engelbrechtsz.html,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0
,geertgen-tot-sint-jans.html,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0
documentnederland-jr,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0
bumper_noflash.html,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0
,fashion-dna,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0
avonduren,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0
,,nieuwerijks_4,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0
,,,SK-A-1595,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0
,,bk-2009-29_banner,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0
,,homepagebanner-sk-a-500-211-115,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0
,,sk-a-500_219,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0
,,pages,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0
,,bezoekersinfo,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0
,,Hands-on-Europe,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0
,,regteren-altena-cornelis-211-115,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0
,,appel-211-115,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0
,,20ste-eeuwse-fotografie_hp,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0
,,banner_eierdans_sk-a-3_211_120,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0
,container_remcar_en.html,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0
,,popup.html,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0
,container_remcar.html,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0
,,,collectie,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0
,macht,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0
,,00017149,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0
,,6268,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0
,verbouwingspecial,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0
,,page_visual,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0
,,7085,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0
,rembrandt400,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0
,,,AK-MAK-187,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0
