length,year,format,object_number
3590,2003,jpg,NG-NM-11552-86
2437,2001,jpg,NG-NM-11911
1463,2002,jpg,NG-NM-548
2231,2001,jpg,NG-NM-6098-1
1983,2001,jpg,NG-NM-6311
2040,2001,jpg,NG-NM-697
1749,2002,jpg,NG-NM-7445
2251,2001,jpg,NG-NM-764
2016,2001,jpg,NG-NM-7687
2275,2001,jpg,NG-NM-825
1726,2001,jpg,NG-NM-9659
1554,2001,jpg,NG-VG-1-406
1892,2001,jpg,NG-VG-1-407-A
2501,2001,jpg,NG-VG-1-482
2431,2001,jpg,NG-VG-1-538
2140,2001,jpg,NG-VG-1-569
2006,2001,jpg,NG-VG-1-594
29284,2004,jpg,NG-1991-20
8001,2004,jpg,NG-2002-23-4
3172,2004,jpg,NG-996
1830,2004,jpg,NG-997
9442,2004,jpg,NG-C-1995-29
4684,2004,jpg,NG-MC-7
7246,2004,jpg,NG-NM-6087-99
17357,2004,jpg,NG-NM-6098-A
7270,2004,jpg,NG-NM-6308
17962,2004,jpg,NG-2000-3
5877,2004,jpg,NG-2002-23-3
29286,2004,jpg,NG-KOG-1208
14690,2002,jpg,RP-F-F00634
24859,2001,jpg,RP-P-1912-2395
14785,2002,jpg,RP-P-1921-2064
18237,2002,jpg,RP-P-1939-119
17302,2002,jpg,RP-P-1960-134
23889,2002,jpg,RP-P-1962-121
43146,2002,jpg,RP-P-1962-39
14389,2002,jpg,RP-P-1962-9
17803,2002,jpg,RP-P-1979-80
20995,2004,jpg,RP-P-BI-906
21683,2003,jpg,RP-P-OB-1015
18522,2002,jpg,RP-P-OB-241
19495,2001,jpg,RP-P-OB-268
21978,2002,jpg,RP-P-OB-4635
15303,2004,jpg,RP-T-1887-A-1392
16229,2002,jpg,RP-T-1899-A-4301
16859,2003,jpg,RP-T-1953-140
15514,2003,jpg,RP-T-1960-243
18914,2001,jpg,RP-T-1962-65
7576,2002,jpg,RP-T-1973-9
20002,2002,jpg,RP-T-1992-3
1867,2001,jpg,RP-1956-754
4303,2001,jpg,RP-D-00-176
2792,2001,jpg,RP-F-00-565
2039,2001,jpg,RP-F-1996-60
2127,2001,jpg,RP-F-AB-12280-I
2219,2000,jpg,RP-F-AB-12280-M
8176,2003,jpg,RP-F-F01149-AA
1917,2001,jpg,RP-F-F17662
8714,2003,jpg,RP-P-1878-A-1543
2232,2001,jpg,RP-P-1878-A-1698
3865,2002,jpg,RP-P-1878-A-925
2660,2002,jpg,RP-P-1883-A-6805
2345,2001,jpg,RP-P-1886-A-10296
5258,2003,jpg,RP-P-1888-A-13821
3166,2001,jpg,RP-P-1891-A-16463
2753,2001,jpg,RP-P-1898-A-20523
7458,2003,jpg,RP-P-1921-311
6364,2004,jpg,RP-P-1940-257
2840,2001,jpg,RP-P-1944-2829
1744,2001,jpg,RP-P-1949-611
3057,2001,jpg,RP-P-1952-183
3174,2001,jpg,RP-P-1956-25
2349,2001,jpg,RP-P-1956-743
3268,2001,jpg,RP-P-1959-137
2378,2002,jpg,RP-P-1962-65
2482,2001,jpg,RP-P-1977-68
1449,2002,jpg,RP-P-1982-1
2457,2001,jpg,RP-P-1983-391
2752,2002,jpg,RP-P-1992-70
2065,2002,jpg,RP-P-1999-548
8009,2003,jpg,RP-P-BI-4211
2917,2001,jpg,RP-P-BI-5321
2147,2001,jpg,RP-P-BI-7417
2530,2001,jpg,RP-P-BI-7437
2686,2001,jpg,RP-P-FM-1009
2177,2001,jpg,RP-P-FM-1137
2386,2001,jpg,RP-P-FM-1157-A
3852,2001,jpg,RP-P-FM-1854
2398,2001,jpg,RP-P-FM-2182
3840,2001,jpg,RP-P-FM-3786
3539,2001,jpg,RP-P-FM-5466
2739,2001,jpg,RP-P-FM-894
2334,2001,jpg,RP-P-H-OB-808
4339,2003,jpg,RP-P-H-OB-848
6037,2004,jpg,RP-P-OB-10
2521,2001,jpg,RP-P-OB-10405
1365,2001,jpg,RP-P-OB-11
2599,2001,jpg,RP-P-OB-1155
6006,2003,jpg,RP-P-OB-12
2312,2001,jpg,RP-P-OB-1281
3001,2002,jpg,RP-P-OB-12859
3268,2001,jpg,RP-P-OB-15
3204,2001,jpg,RP-P-OB-15333
2789,2001,jpg,RP-P-OB-15540
3464,2001,jpg,RP-P-OB-1722
2353,2003,jpg,RP-P-OB-184
2148,2001,jpg,RP-P-OB-20
2920,2002,jpg,RP-P-OB-23183
9794,2003,jpg,RP-P-OB-27-458
3345,2001,jpg,RP-P-OB-35
2157,2001,jpg,RP-P-OB-38
6296,2003,jpg,RP-P-OB-4276
8761,2003,jpg,RP-P-OB-46
4845,2003,jpg,RP-P-OB-4630
3202,2001,jpg,RP-P-OB-52-602
2195,2003,jpg,RP-P-OB-577
3101,2002,jpg,RP-P-OB-601
2349,2002,jpg,RP-P-OB-62238
6394,2003,jpg,RP-P-OB-6686
1949,2001,jpg,RP-P-OB-697
5605,2003,jpg,RP-P-OB-840
2128,2001,jpg,RP-P-OB-913
3540,2001,jpg,RP-P-OB-963
2018,2001,jpg,RP-T-00-122
5560,2003,jpg,RP-T-1883-A-239
6313,2003,jpg,RP-T-1884-A-293
4713,2004,jpg,RP-T-1884-A-334
6906,2003,jpg,RP-T-1885-A-499
2954,2001,jpg,RP-T-1886-A-621
1764,2001,jpg,RP-T-1886-A-870
1964,2001,jpg,RP-T-1888-A-1510
1773,2001,jpg,RP-T-1889-A-2056
2245,2001,jpg,RP-T-1889-A-2120
2243,2001,jpg,RP-T-1891-A-2471
1716,2002,jpg,RP-T-1894-A-3023
2840,2003,jpg,RP-T-1897-A-3487
2123,2003,jpg,RP-T-1898-A-3606
2698,2001,jpg,RP-T-1898-A-3717
1912,2002,jpg,RP-T-1898-A-3724
5618,2004,jpg,RP-T-1902-A-4578
4077,2002,jpg,RP-T-1902-A-4593
2247,2001,jpg,RP-T-1905-73
2594,2003,jpg,RP-T-1913-11
2956,2002,jpg,RP-T-1931-182
2832,2001,jpg,RP-T-1940-577
1976,2001,jpg,RP-T-1948-127
2988,2001,jpg,RP-T-1948-397
2106,2001,jpg,RP-T-1950-392
2975,2001,jpg,RP-T-1950-94
3155,2002,jpg,RP-T-1960-205
2289,2001,jpg,RP-T-1961-75
1957,2001,jpg,RP-T-1964-242
4580,2004,jpg,RP-T-1964-342
1879,2001,jpg,RP-T-1965-180
2522,2001,jpg,RP-T-1965-290
1773,2001,jpg,RP-T-1971-52
2453,2001,jpg,RP-T-1980-10
2008,2001,jpg,RP-T-1980-A-2339
2978,2001,jpg,RP-T-1981-68
2693,2001,jpg,RP-T-1982-75
2505,2003,jpg,RP-T-1984-1
2684,2003,jpg,RP-T-1986-62
2721,2002,jpg,RP-T-1989-99
2064,2001,jpg,RP-T-1993-33
2973,2001,jpg,RP-T-1994-160
3027,2001,jpg,RP-T-1996-6
1925,2001,jpg,RP-T-1998-86
5575,2004,jpg,RP-T-2000-1
10556,2004,jpg,RP-1965-556
12380,2004,jpg,RP-F-00-612
10402,2004,jpg,RP-F-OO-484
9661,2004,jpg,RP-P-1880-A-4435
157491,2004,jpg,RP-P-1889-A-14266
21429,2004,jpg,RP-P-1908-345
5465,2004,jpg,RP-P-1921-1956
15056,2004,jpg,RP-P-1932-129
3787,2004,jpg,RP-P-1953-388
6724,2004,jpg,RP-P-1969-1
14432,2004,jpg,RP-P-1981-48
9877,2004,jpg,RP-P-1992-418
18501,2004,jpg,RP-P-Bi-6573
15673,2004,jpg,RP-P-CP39
5388,2004,jpg,RP-P-OB-24
55945,2004,jpg,RP-P-OB-27
6639,2004,jpg,RP-P-OB-28077
5083,2004,jpg,RP-P-OB-39
41114,2004,jpg,RP-P-OB-4863
13033,2004,jpg,RP-P-OB-62021
4972,2004,jpg,RP-T-00-3186
35933,2004,jpg,RP-T-1897-A-3393
4398,2004,jpg,RP-T-1948-635
5245,2004,jpg,RP-T-1960-83
30032,2004,jpg,RP-P-1898-A-19670
11548,2002,jpg,SK-A-1246
6638,2002,jpg,SK-A-127
14907,2002,jpg,SK-A-128
17395,2002,jpg,SK-A-129
8600,2003,jpg,SK-A-15
13489,2003,jpg,SK-A-1718
13764,2002,jpg,SK-A-1857
14197,2002,jpg,SK-A-1892
17899,2001,jpg,SK-A-1923
9094,2001,jpg,SK-A-1935
20336,2004,jpg,SK-A-1955
23413,2004,jpg,SK-A-1967
8446,2004,jpg,SK-A-2099
21383,2002,jpg,SK-A-2150
10223,2001,jpg,SK-A-2291
13470,2000,jpg,SK-A-2344
16487,2004,jpg,SK-A-2354
11500,2003,jpg,SK-A-250
5567,2003,jpg,SK-A-2507
9936,2002,jpg,SK-A-2670
9730,2004,jpg,SK-A-2784
16951,2004,jpg,SK-A-2860
4680,2002,jpg,SK-A-2963
7820,2004,jpg,SK-A-3138
12029,2002,jpg,SK-A-317
11147,2003,jpg,SK-A-3230
15100,2001,jpg,SK-A-3262
5431,2004,jpg,SK-A-3276
13357,2004,jpg,SK-A-347
15911,2004,jpg,SK-A-348
